p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,target_class
1.222533040195822839e-03,3.559216243461982591e-04,9.134366818762748455e-04,5.270193717827136547e-04,3.766485885267155777e-04,2.434265962148883262e-03,4.293426632199009107e-04,1.031504165090143090e-03,9.452309376595985401e-04,5.868859787125462173e-04,2.564803747010795717e-03,7.569323748816821030e-04,1.975064230338017656e-03,8.281499499896352720e-04,6.373582372237992849e-04,2.588960904145033975e-03,7.514226624805191894e-04,1.884283472498968388e-03,1.285278150927976221e-03,1.167387955989585653e-03,3.299006701367472507e-03,3.099062927914317624e-04,7.921119341351757527e-04,3.886499371632483974e-04,3.195007700900883373e-04,3.370918847536050113e-03,5.563699120059420380e-04,1.122661828892282995e-03,8.737104877872372329e-04,6.882403438119894142e-04,0.000000000000000000e+00
2.121306416984325861e-03,3.249683810649338627e-04,1.029309697245934553e-03,5.560669141023771508e-04,4.163585447994332415e-04,3.387729149143277503e-03,4.852929207278001695e-04,1.282575291186483120e-03,8.584948994816926984e-04,5.435629511109552232e-04,4.497233192385994942e-03,7.743378178045615340e-04,1.569099141733117661e-03,9.244019067223591297e-04,7.002726048730193407e-04,4.656770940456932129e-03,8.069209910805157570e-04,1.631639721597820392e-03,1.167128232153208899e-03,1.137910195284095975e-03,4.864443564215643369e-03,3.041259070321888111e-04,8.271170378205736475e-04,4.582870222853543734e-04,4.186476178912364047e-04,4.221369792818901664e-03,8.391061487606886081e-04,1.279614241353992012e-03,8.643029331866797921e-04,6.892230151703162676e-04,0.000000000000000000e+00
1.855540899148197011e-03,3.303358506105124335e-04,8.066622530782011731e-04,6.325101170032767237e-04,3.209608506357381884e-04,2.628082870113838086e-03,4.550197390417462864e-04,9.582153807013453397e-04,9.933394672413582184e-04,5.241346152476547907e-04,2.992651674976701086e-03,8.317818301762179957e-04,1.203997686819217438e-03,1.035246101175115677e-03,5.457233171342913951e-04,3.058349985561189220e-03,7.709333466728270686e-04,1.348901361863687025e-03,1.224483170968647611e-03,1.034699656254424102e-03,3.732281772484453194e-03,3.629054947602776242e-04,6.700673855900016532e-04,5.007464932738216841e-04,2.972430203954959339e-04,2.795168694896211538e-03,5.459419208429759640e-04,9.781033887940849495e-04,8.785458726642138933e-04,6.172088708291188341e-04,0.000000000000000000e+00
1.485458399164594221e-03,3.898716524766265693e-04,1.193273576650335892e-03,5.805059491955150879e-04,3.862347820895977303e-04,4.478065797993919898e-03,4.682620280769431110e-04,1.667387856524560688e-03,8.621234135822143868e-04,5.775488813423101074e-04,2.519135407329680439e-03,8.643062303346720323e-04,1.999992922294609090e-03,9.475382613300814289e-04,7.045079456580280626e-04,3.302817352450806380e-03,6.934724548227604989e-04,2.252282377725968107e-03,1.186899142642097510e-03,1.077938100084945613e-03,4.976165827027241237e-03,4.115966990187164124e-04,9.913981046654469879e-04,4.439841734460788663e-04,3.395195839070059033e-04,7.606625975792970402e-03,6.986095580406714986e-04,1.511045544418315040e-03,7.641660406351577159e-04,7.067009890004927143e-04,0.000000000000000000e+00
2.337429168264045301e-03,4.790660763897358967e-04,1.056389474155218586e-03,7.373006446347423739e-04,3.708685123008374947e-04,3.472329244666221872e-03,5.948470157065589023e-04,1.648290519120192968e-03,9.819744604658130899e-04,6.297352906216936762e-04,3.349895188196495149e-03,1.086823365720593348e-03,1.887601230718407089e-03,1.086347970202380985e-03,6.787972310716660056e-04,3.125530561834338663e-03,9.721689756529907234e-04,2.179052706333116460e-03,1.339095145284599671e-03,1.196088564936279497e-03,4.477938508274756368e-03,4.419443950227731140e-04,8.171754117707930899e-04,5.576437890976885864e-04,3.251489880979469265e-04,4.023950716055316700e-03,7.016984682325036081e-04,1.636950153146007024e-03,8.570675894660412849e-04,7.396043105510964914e-04,0.000000000000000000e+00
6.340753525910911362e-03,9.496188402958135634e-04,1.589590819912899827e-03,1.409231812841243037e-03,6.725319461427549383e-04,2.011619365628665879e-03,5.401262860765294752e-04,1.508662299179479825e-03,1.502191149809658545e-03,7.879667486881402087e-04,2.849492478270858591e-03,9.828829467527322276e-04,2.153941426758938012e-03,2.252794582010725442e-03,8.989825083271984693e-04,2.143096512575951452e-03,7.286993746918803572e-04,1.896795550362791963e-03,2.074071557916702668e-03,8.721229506255385967e-04,3.009961903496628441e-03,7.056728825311618268e-04,1.189896769214702534e-03,1.111272131268854681e-03,5.735815694807050880e-04,8.240526760950473827e-04,2.127604621694536029e-04,1.059531581977194575e-03,1.279970503741305029e-03,6.141803364380725829e-04,0.000000000000000000e+00
5.385695363671574865e-03,1.078966412518353674e-03,1.965305348505065608e-03,1.306299690526593286e-03,7.059995672218879635e-04,1.776699118906659982e-03,8.181035052269299912e-04,1.807280323684752697e-03,1.429451059235743683e-03,7.307687748303180915e-04,3.728101345824525858e-03,1.523494577788023175e-03,2.840361476122916715e-03,1.766935318488960542e-03,9.018912649035619108e-04,2.283980594102727642e-03,1.208803158662092193e-03,2.525902519904334002e-03,1.789372557869028111e-03,8.273841328810475470e-04,3.554568808024508551e-03,7.798410790655988791e-04,1.460438479514418507e-03,1.085447073527412041e-03,5.757986715544994877e-04,8.648509604081857207e-04,3.374576333752238961e-04,1.290223637305815390e-03,1.130804914168687591e-03,5.898628070513076442e-04,0.000000000000000000e+00
7.425269515245203240e-03,1.448133789004072032e-03,2.161844292551008597e-03,1.105139071591695020e-03,7.368418562354136407e-04,2.620305636303832397e-03,1.027203527415392580e-03,1.995477955121692081e-03,1.050527283744276223e-03,8.177598413278661408e-04,3.499666558712076405e-03,1.766310287066730081e-03,3.039051697936122169e-03,1.556548732594145333e-03,9.400752479569000897e-04,3.043844012039404606e-03,1.313502483966384575e-03,2.691636093902925221e-03,1.362635037083488251e-03,9.097107546964600458e-04,9.249825972455091860e-03,1.034161300144791421e-03,1.561606285564610258e-03,9.686087603332761914e-04,6.182793550310217330e-04,1.900537626100495987e-03,3.160936904501157932e-04,1.446591505046037002e-03,7.942366745183804169e-04,6.135105842776852067e-04,0.000000000000000000e+00
6.668971601069355847e-03,8.411025091024349441e-04,1.754896373091069470e-03,1.155948671533519939e-03,7.649098044589328765e-04,1.821226578237365550e-03,5.394504776459061379e-04,1.785448061682893411e-03,1.278487609360773021e-03,9.012154156366497960e-04,3.736307912943497619e-03,1.071555351376203167e-03,2.667709175987704323e-03,1.752117861980390578e-03,9.211748705455521762e-04,2.566584943447018218e-03,7.773755345285261135e-04,2.263947709943092256e-03,1.729924925796908191e-03,9.323278482916309970e-04,4.821266032661345249e-03,6.187735678086626976e-04,1.287070877105733497e-03,9.529582214866797515e-04,6.658817916381553140e-04,9.359330288889188302e-04,2.220424232304918713e-04,1.092473457927102543e-03,1.146887207129596757e-03,7.255191885643167121e-04,0.000000000000000000e+00
5.216154860064697169e-03,1.091682926012703869e-03,2.413044727514865664e-03,1.196709741831803028e-03,6.711411693472119164e-04,1.611315081713877734e-03,5.289823024517366140e-04,1.921036190825876249e-03,1.179400391523855590e-03,8.036477466303649543e-04,2.868623716333175335e-03,1.216040654129309142e-03,3.038398160838198976e-03,1.622383668619954136e-03,8.911237083004111201e-04,2.295539486017597781e-03,7.832363129648724220e-04,2.538039722950320015e-03,1.554994075386030615e-03,8.649927222419976280e-04,3.474104250142457957e-03,8.083053058991785398e-04,1.799177014042885672e-03,9.594073569135536279e-04,5.741260109565660564e-04,8.072071216893325456e-04,1.695703665254392491e-04,1.285080166941921084e-03,1.033939053695316634e-03,6.507866801410649819e-04,0.000000000000000000e+00
